id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33596574,Chambre individuelle à louer proche Gare St Jean,171812385,Veronique,Bordeaux,Bordeaux Sud,44.81713,-0.55244,Private room,26,1,11,2019-08-05,1.47,2,55
33597140,Appartement de ville  avec Pierre Apparente,196026640,Kamar,Bordeaux,Centre ville (Bordeaux),44.83536,-0.585,Entire home/apt,120,2,16,2019-08-13,2.68,1,0
33597544,petite maison tranquille,102871751,Cathrine,Merignac,Arlac,44.82061,-0.61785,Entire home/apt,50,3,0,,,2,0
33599025,Beautiful apartment tastefully renovated 2 bedrooms close to public transp,47630405,Nicolas,Talence,Talence,44.81966,-0.58493,Entire home/apt,86,1,7,2019-08-18,1.02,29,4
33599466,Studio équipé Bordeaux Saint Augustin,11569402,Laure,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83135,-0.60586,Entire home/apt,31,5,7,2019-09-24,0.97,2,0
33600255,3 chambres privées dans maison de charme + piscine,33040916,Beatrice,Talence,Talence,44.82453,-0.58963,Private room,240,2,0,,,3,113
33601360,Maison au calme proche Bordeaux 15’ en tram,7048969,Carine,Merignac,Arlac,44.82398,-0.61646,Private room,59,2,0,,,1,85
33605662,Appartement traversant aux Chartrons,51718644,Adrian,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85908,-0.57553,Entire home/apt,80,3,27,2019-09-29,3.65,1,226
33605975,Charmant T2 aux portes de Bordeaux,253239550,Jeremy,Cenon,Plaisance-Loret-Maregue,44.86045,-0.5146,Entire home/apt,60,1,16,2019-10-15,2.13,1,0
33606115,T2 en plein coeur de Bordeaux Centre,208069184,Linda,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83477,-0.58372,Entire home/apt,40,1,18,2019-11-23,2.54,1,34
33608650,"Appartement de 86m², standing proche du tram C",52311205,Sebastien,Bgles,Bgles,44.80643,-0.54802,Entire home/apt,100,3,4,2019-11-03,1.13,1,163
33610080,Lumineux T3 au pied des commerces,15126498,Mathilde,Gradignan,Gradignan,44.78417,-0.60429,Entire home/apt,50,4,0,,,1,0
33613436,Bel appartement moderne centre ville/Gare st jean,252617626,Coraline,Bordeaux,Bordeaux Sud,44.8214,-0.54989,Entire home/apt,60,1,22,2019-10-25,2.86,1,85
33622688,chambre/espace en mezzanine près tram B/Bergonier,74977199,Florence,Bordeaux,Nansouty - Saint Gens,44.82277,-0.57458,Private room,18,1,72,2019-11-21,9.43,3,34
